customer_segments,household_counts,wants_to_buy_security_devices,will_switch_brands,high_medium_ipa,pay_more_to_buy_top
Comfortable Retirees,3502870,121346,759639,119470,1074724
Diverse Workers,9067386,327728,2286425,0,3840480
Elder Midscale Class,5126538,424447,1081551,760180,2002658
Elite Households,3782280,773110,887918,3651132,2307314
Mass Markets,8944892,807344,2168742,123992,4478194
Modest Families,3922926,224353,1076186,0,1734094
Prosperous Acheivers,3653326,849727,704491,3480767,1906798
Upscale Matures,2990662,451118,596014,2657359,1294054
Well-heeled Affluents,2647809,1176191,522831,2569518,1513888
Young Affluent Mobiles,5455273,427550,1345477,1952550,3370282
Young Upscale Families,6370407,367450,1472441,2977446,3536606
Young Urban Masses,6709160,136007,1686936,58152,3410736
