City,State,Population Growth Rate,Number of Burgalaries reported,Property Crime Rate,Housing Construction,Mass Markets2,Diverse Workers2,Well-heeled Affluents2
Abbeville,Alabama,0,0,0,0,0,0.000008,0.000015
Adamsville,Alabama,-0.0001,0,0,0,0,0.000024,0.000019
Addison,Alabama,0,0,0,0.0001,0,0.000003,0.000016
Alabaster,Alabama,0,0,0,-0.0001,0.0001,0.000037,0.00002
Albertville,Alabama,0,0,0,0,0.0002,0.000036,0.000104
Alexander City,Alabama,0,0,0,0,0.0002,0.000034,0.000088
Aliceville,Alabama,0,0,0,0,0,0.000004,0.000015
Alma,Arkansas,0.0001,0,0,0.0001,0.0002,0.000025,0.000034
Alturas,California,0.0002,0,0,0.0001,0.0003,0.000006,0.000005
Altus,Arkansas,-0.0001,0,0,0.0003,0.0002,0.000002,0.000008
Anaheim,California,0,0.0001,0.0002,0,0.0011,0.000422,0.000062
Anchorage,Alaska,0,0.0003,0.0002,0,0.0018,0.000291,0.00004
Anderson,California,0,0,0,0,0.0001,0.000013,0.000055
Anniston,Alabama,0,0.0001,0,0,0.0003,0.0001,0.000054
Antioch,California,0,0.0001,0.0001,0,0.0004,0.000067,0.000085
Apache Junction,Arizona,0,0,0,0,0.0003,0.000098,0.000086
Apple Valley,California,0,0,0,0.0001,0.0004,0.000118,0.000073
Arab,Alabama,-0.0001,0,0,-0.0001,-0.0002,0.000033,0.000023
Arcadia,California,0,0,0,0,0.0002,0.000059,0.000001
Arcata,California,0.0001,0,0,0.0001,0.0002,0.000007,0.000021
Ardmore,Alabama,0,0,0,0,0,0.000016,0.000013
Arkadelphia,Arkansas,0,0,0,0,0.0001,0.000011,0.000018
Arroyo Grande,California,0,0,0,-0.0001,0,0.000027,0.000007
Artesia,California,0,0,0,0,0,0.000023,0
Arvada,Colorado,0,0,0.0001,0,0.0005,0.000147,0.000102
Arvin,California,0.0001,0,0,0.0001,0.0003,0.000015,0.000062
Ash Flat,Arkansas,0.0002,0,0,0.0003,0.0005,0.000002,0.000004
Ashdown,Arkansas,-0.0001,0,0,-0.0001,-0.0002,0.00002,0.000019
Ashford,Alabama,0,0,0,0.0001,0.0001,0.000015,0.000012
Ashland,Alabama,0,0,0,0,0.0001,0.000002,0.000034
Ashville,Alabama,0.0002,0,0,0.0001,0.0004,0.000016,0.000009
Aspen,Colorado,0,0,0,0,0,0.000008,0
Atascadero,California,0,0,0,0,0.0002,0.000043,0.000006
Athens,Alabama,0.0001,0,0,0,0.0004,0.000111,0.000135
Atherton,California,0,0,0,0.0001,0.0003,0,0
Atkins,Arkansas,0,0,0,-0.0001,-0.0001,0.000009,0.000015
Atmore,Alabama,-0.0001,0,0,0,0,0.00002,0.000081
Atwater,California,0,0,0,0,0.0002,0.000055,0.000091
Auburn,Alabama,0.0001,0,0,0,0.0002,0.00003,0.000083
Auburn,California,0.0001,0,0,0,0.0002,0.000023,0.00003
Ault,Colorado,-0.0001,0,0,-0.0002,-0.0002,0.000017,0.000001
Aurora,Colorado,0.0001,0.0001,0.0002,0,0.0015,0.000321,0.000463
Austin,Arkansas,0.0004,0,0,0.0001,0.0006,0.000037,0.000001
Avalon,California,0,0,0,0.0002,0.0002,0.000021,0.000001
Avenal,California,-0.0001,0,0,-0.0003,-0.0004,0.000005,0.000025
Avon,Colorado,0,0,0,0.0001,0.0001,0.000003,0
Avon,Connecticut,0,0,0,0,0.0001,0,0
Bakersfield,California,0,0.0002,0.0003,0,0.0016,0.000293,0.000442
Bald Knob,Arkansas,0.0002,0,0,0.0001,0.0004,0.000003,0.000049
Baldwin Park,California,0,0,0,0,0.0003,0.000138,0.000005
Banning,California,0.0001,0,0,-0.0001,0.0002,0.000027,0.000117
Barling,Arkansas,0,0,0,0.0001,0.0001,0.000019,0.000004
Barrington,Illinois,0,0,0,0,0.0006,0.000003,0
Barstow,California,0,0,0,-0.0001,0,0.000024,0.000039
Bartlett,Illinois,0,0,0,0,0.0001,0.000011,0.000006
Bartow,Florida,0,0,0,0.0001,0.0002,0.000033,0.000105
Basalt,Colorado,0,0,0,0,0,0.000003,0
Batavia,Illinois,0,0,0,0,0.0002,0.000031,0.000001
Bay,Arkansas,0.0001,0,0,0.0001,0.0001,0.000004,0.000012
Bay Minette,Alabama,0.0002,0,0,0,0.0002,0.000058,0.00003
Bear Creek,Alabama,0.0004,0,0,0.0006,0.001,0.000001,0.000006
Bearden,Arkansas,-0.0003,0,0,0,-0.0003,0.000002,0.000014
Beardstown,Illinois,0.0001,0,0,0,0.0001,0.000008,0.000033
Beaumont,California,0.0001,0,0,0.0001,0.0004,0.000041,0.000073
Beebe,Arkansas,0,0,0,-0.0001,-0.0001,0.000039,0.000025
Beecher,Illinois,-0.0001,0,0,0.0001,0.0001,0.000005,0.000001
Bell Gardens,California,0,0,0,0,0.0004,0.000174,0.000201
Bella Vista,Arkansas,0,0,0,0,0.0001,0.00005,0.000006
Belle Glade,Florida,0,0,0,0,0.0001,0.000021,0.000049
Belleair Beach,Florida,0.0005,0,0,0,0.0005,0,0
Belleview,Florida,0,0,0,-0.0001,0,0.000016,0.000031
Bellevue,Idaho,0.0001,0,0,0.0001,0.0002,0.000021,0.000002
Bellflower,California,0,0,0,0,0.0003,0.000091,0.000069
Bellwood,Illinois,0,0,0,0,0,0.000038,0.000003
Belmont,California,0,0,0,0,0.0002,0.000001,0
Benicia,California,0,0,0,0,0.0002,0.000013,0
Benld,Illinois,-0.0001,0,0,0,0,0.000003,0.000003
Benton,Arkansas,0,0,0,0,0.0003,0.000141,0.00003
Berkeley,California,0,0,0.0001,0,0.0011,0.000089,0.000016
Berkeley,Illinois,0,0,0,-0.0001,-0.0001,0.000004,0
Berlin,Connecticut,0,0,0,0.0001,0.0003,0.000007,0.000001
Berne,Indiana,-0.0001,0,0,0,-0.0001,0.000007,0.000024
Berryville,Arkansas,0,0,0,-0.0001,0,0.000019,0.000035
Berwyn,Illinois,0,0,0,0,0.0003,0.000212,0.000005
Bethalto,Illinois,-0.0001,0,0,-0.0001,-0.0001,0.000025,0.000019
